Scaling parameters by 0.62 to account for a batch size of 5.
Per-GPU batch size is less than the recommended limit for batch norm. Disabling batch norm.
loading annotations into memory...
Done (t=4.14s)
creating index...
index created!
loading annotations into memory...
Done (t=0.69s)
creating index...
index created!
Resuming training, loading yolact_data/weights/yolact_plus_base_54_800000.pth...
Ignoring "Error(s) in loading state_dict for Yolact:
	size mismatch for maskiou_net.maskiou_net.10.weight: copying a param with shape torch.Size([80, 128, 1, 1]) from checkpoint, the shape in current model is torch.Size([1, 128, 1, 1]).
	size mismatch for maskiou_net.maskiou_net.10.bias: copying a param with shape torch.Size([80]) from checkpoint, the shape in current model is torch.Size([1]).
	size mismatch for prediction_layers.0.conf_layer.weight: copying a param with shape torch.Size([729, 256, 3, 3]) from checkpoint, the shape in current model is torch.Size([18, 256, 3, 3]).
	size mismatch for prediction_layers.0.conf_layer.bias: copying a param with shape torch.Size([729]) from checkpoint, the shape in current model is torch.Size([18]).
	size mismatch for semantic_seg_conv.weight: copying a param with shape torch.Size([80, 256, 1, 1]) from checkpoint, the shape in current model is torch.Size([1, 256, 1, 1]).
	size mismatch for semantic_seg_conv.bias: copying a param with shape torch.Size([80]) from checkpoint, the shape in current model is torch.Size([1])."
Begin training!

[  0]     580 || B: 0.385 | C: 1.134 | M: 0.351 | S: 0.076 | I: 0.030 | T: 1.977 || ETA: 0:23:07 || timer: 0.404
[  0]     590 || B: 0.395 | C: 1.136 | M: 0.354 | S: 0.074 | I: 0.030 | T: 1.988 || ETA: 0:23:03 || timer: 0.405
[  0]     600 || B: 0.413 | C: 1.135 | M: 0.350 | S: 0.073 | I: 0.031 | T: 2.003 || ETA: 0:22:59 || timer: 0.411
[  0]     610 || B: 0.410 | C: 1.140 | M: 0.342 | S: 0.073 | I: 0.029 | T: 1.994 || ETA: 0:22:55 || timer: 0.406
[  0]     620 || B: 0.419 | C: 1.146 | M: 0.341 | S: 0.073 | I: 0.030 | T: 2.009 || ETA: 0:22:51 || timer: 0.405
[  0]     630 || B: 0.418 | C: 1.143 | M: 0.340 | S: 0.073 | I: 0.029 | T: 2.003 || ETA: 0:22:47 || timer: 0.409
[  0]     640 || B: 0.432 | C: 1.146 | M: 0.338 | S: 0.073 | I: 0.029 | T: 2.017 || ETA: 0:22:43 || timer: 0.409
[  0]     650 || B: 0.456 | C: 1.148 | M: 0.343 | S: 0.073 | I: 0.030 | T: 2.051 || ETA: 0:22:39 || timer: 0.407
[  0]     660 || B: 0.450 | C: 1.142 | M: 0.347 | S: 0.074 | I: 0.031 | T: 2.044 || ETA: 0:22:35 || timer: 0.407
[  0]     670 || B: 0.469 | C: 1.152 | M: 0.352 | S: 0.073 | I: 0.032 | T: 2.078 || ETA: 0:22:31 || timer: 0.405
